respondent_id,xyz_vaccine,seasonal_vaccine
27116,0.0,0.86
27117,0.0,0.02
27118,0.0,0.4933333333333333
27119,0.11,0.24
27120,0.14,0.87
27121,0.04,0.7648333333333334
27122,0.0,0.3
27123,0.15666666666666665,0.45
27124,0.06,0.09
27125,0.13,0.04
27126,0.32,0.27
27127,0.01,0.16
27128,0.22,0.81
27129,0.39,0.51
27130,0.01,0.15
27131,0.11,0.05
27132,0.155,0.87
27133,0.01,0.6683333333333334
27134,0.8075,0.9608333333333333
27135,0.01,0.83
27136,0.02,0.16
27137,0.16,0.29
27138,0.13,0.45
27139,0.0,0.05
27140,0.92,0.98
27141,0.83,0.67
27142,0.05,0.09
27143,0.47,0.61
27144,0.01,0.13
27145,0.74,0.722
27146,0.16,0.66
27147,0.02,0.11
27148,0.03,0.06
27149,0.59,0.1
27150,0.34,0.83
27151,0.155,0.7
27152,0.03,0.22333333333333333
27153,0.325,0.94
27154,0.9625,0.96
27155,0.22,0.6166666666666667
27156,0.01,0.07
27157,0.04,0.51
27158,0.01,0.28
27159,0.01,0.15
27160,0.31,0.5
27161,0.33,0.36
27162,0.0,0.73
27163,0.61,0.64
27164,0.25,0.1575
27165,0.7,0.75
27166,0.22,0.13
27167,0.1,0.55
27168,0.01,0.74
27169,0.76,0.62
27170,0.58,0.9
27171,0.02,0.12
27172,0.03,0.8
27173,0.07,0.51
27174,0.04,0.18
27175,0.0,0.04
27176,0.88,0.92
27177,0.99,0.99
27178,0.0,0.10416666666666666
27179,0.23,0.22666666666666666
27180,0.05,0.1
27181,0.02,0.77
27182,0.43,0.89
27183,0.0,0.64
27184,0.06,0.45
27185,0.28,0.74
27186,0.14,0.86
27187,0.12583333333333332,0.6
27188,0.11,0.545
27189,0.29,0.71
27190,0.48,0.94
27191,0.31,0.92
27192,0.33,0.81
27193,0.01,0.1
27194,0.49,0.58
27195,0.02,0.18
27196,0.2,0.09
27197,0.16,0.6033333333333333
27198,0.79,0.72
27199,0.13,0.12
27200,0.18,0.64
27201,0.59,0.81
27202,0.16333333333333336,0.27
27203,0.03,0.21
27204,0.01,0.02
27205,0.11,0.26
27206,0.13,0.25
27207,0.1020952380952381,0.04
27208,0.84,0.64
27209,0.04014285714285714,0.2625
27210,0.04,0.32
27211,0.04,0.23
27212,0.5266666666666666,0.88
27213,0.19,0.64
27214,0.07,0.1
27215,0.11,0.76
27216,0.16,0.75
27217,0.04,0.24
27218,0.66,0.7275
27219,0.9229999999999999,0.6356190476190478
27220,0.41,0.61
27221,0.06,0.63
27222,0.08,0.64
27223,0.01,0.63
27224,0.09666666666666666,0.5453333333333333
27225,0.11,0.12
27226,0.0,0.345
27227,0.424,0.05
27228,0.8773333333333333,0.97
27229,0.8,0.84
27230,0.24,0.95
27231,0.32,0.96
27232,0.10666666666666666,0.8
27233,0.58,0.3
27234,0.07,0.02
27235,0.86,0.95
27236,0.03,0.89
27237,0.77,0.72
27238,0.7,0.82
27239,0.3,0.19
27240,0.03,0.26
27241,0.15,0.25
27242,0.24,0.65
27243,0.02,0.08
27244,0.01,0.08
27245,0.07,0.35
27246,0.9,0.98
27247,0.31,0.98
27248,0.38,0.85
27249,0.016,0.61
27250,0.017,0.21
27251,0.04666666666666666,0.52
27252,0.08,0.56
27253,0.0,0.77
27254,1.0,0.89
27255,0.14,0.14
27256,0.9,0.99
27257,0.26,0.54
27258,0.44,0.54
27259,0.4561666666666667,0.78
27260,0.21666666666666665,0.46
27261,0.52,0.6425
27262,0.0,0.43
27263,0.02,0.08
27264,0.2193333333333333,0.16
27265,0.19,0.415
27266,0.16,0.586
27267,0.26083333333333336,0.54
27268,0.06,0.19
27269,0.8627380952380952,0.67
27270,0.04,0.09
27271,0.08,0.3
27272,0.1,0.56
27273,0.04,0.09
27274,0.335,0.3466666666666666
27275,0.42,0.25
27276,0.01,0.41
27277,0.02,0.87
27278,0.04,0.3466666666666666
27279,0.18,0.26
27280,0.77,0.35
27281,0.03,0.53
27282,0.1275,0.995
27283,0.04,0.13
27284,0.24,0.49
27285,0.05,0.16766666666666666
27286,0.15,0.26
27287,0.16,0.62
27288,0.68,0.87
27289,0.106,0.405
27290,0.0,0.09
27291,0.48,0.7
27292,0.03,0.59
27293,0.02,0.87
27294,0.03,0.04
27295,0.575,0.91
27296,0.04,0.7468333333333333
27297,0.042666666666666665,0.89
27298,0.0,0.2866666666666666
27299,0.42,0.5966666666666667
27300,0.12083333333333333,0.8066666666666665
27301,0.0,0.01
27302,0.28,0.72
27303,0.08,0.37
27304,0.02,0.82
27305,0.18,0.1
27306,0.47,0.7375
27307,0.91,0.9
27308,0.21,0.5566666666666668
27309,0.84,0.99
27310,0.0,0.13
27311,0.0,0.34
27312,0.16,0.28
27313,0.0,0.14
27314,0.06,0.06
27315,0.0,0.07
27316,0.18,0.56
27317,0.085,0.15
27318,0.02,0.21
27319,0.14,0.73
27320,0.0,0.5323333333333333
27321,0.03,0.88
27322,0.44,0.33
27323,0.03,0.55
27324,0.19,0.34
27325,0.92,0.95
27326,0.02,0.51
27327,0.15,0.46
27328,0.49,0.38
27329,0.08,0.06
27330,0.01,0.66
27331,0.31,0.44
27332,0.11,0.875
27333,0.95,0.78
27334,0.02,0.07
27335,0.32,0.2
27336,0.13333333333333333,0.17833333333333332
27337,0.47,0.59
27338,0.07,0.34
27339,0.09,0.31
27340,0.0,0.06
27341,0.1,0.845
27342,0.09833333333333334,0.55
27343,0.0,0.05
27344,0.42,0.42
27345,0.01,0.22
27346,0.27,1.0
27347,0.82,0.88
27348,0.03,0.17
27349,0.07,0.27
27350,0.065,0.88
27351,0.4,0.7466666666666666
27352,0.02,0.41
27353,0.02,0.39
27354,0.27,0.66
27355,0.3,0.49
27356,0.38,0.69
27357,0.01,0.29333333333333333
27358,0.24,0.5166666666666667
27359,0.47,0.57
27360,0.2,0.6
27361,0.01,0.9
27362,0.6716666666666667,0.5283333333333333
27363,0.03,0.05
27364,0.0,0.41
27365,0.49,0.62
27366,0.23,0.4
27367,0.17,0.68
27368,0.0,0.36
27369,0.03,0.11
27370,0.06,0.96
27371,0.2,0.36
27372,0.0,0.03
27373,0.99,0.63
27374,0.0,0.22
27375,0.07,0.86
27376,0.39,0.24
27377,0.27,0.59
27378,0.06,0.1
27379,0.01,0.2866666666666667
27380,0.19466666666666668,0.83
27381,0.04,0.51
27382,0.11,0.25
27383,0.01,0.5
27384,0.06,0.64
27385,0.1275,0.995
27386,0.03,0.54
27387,0.565,0.8
27388,0.19,0.24
27389,0.0,0.06
27390,0.02,0.11
27391,0.54,0.83
27392,0.875,0.7221666666666665
27393,0.01,0.04
27394,0.01,0.27
27395,0.67,0.78
27396,0.16,0.32
27397,0.98,0.93
27398,0.16,0.52
27399,0.24,0.66
27400,0.01,0.9
27401,0.14583333333333331,0.6533333333333334
27402,0.13,0.63
27403,0.02,0.285
27404,0.47666666666666674,0.24666666666666665
27405,0.92,0.96
27406,0.0,0.15
27407,0.04,0.13
27408,0.1675,0.58
27409,0.95,1.0
27410,0.01,0.15
27411,0.028333333333333335,0.18
27412,0.04,0.55
27413,0.13,0.28
27414,0.69,0.92
27415,0.01,0.42
27416,0.055,0.32
27417,0.22,0.4
27418,0.47,0.2
27419,0.73,0.82
27420,0.06,0.17
27421,0.4,0.3
27422,0.19,0.87
27423,0.03,0.165
27424,0.04,0.45666666666666667
27425,0.15,0.51
27426,0.0125,0.22
27427,0.09,0.24
27428,0.0,0.03
27429,0.4,0.16
27430,0.04,0.63
27431,0.04,0.65
27432,0.3675,0.7
27433,0.08,0.79
27434,0.249595238095238,0.6496666666666667
27435,0.15,0.42
27436,0.02,0.07
27437,0.23,0.43
27438,0.01,0.05
27439,0.47,0.3
27440,0.10691666666666666,0.14142857142857143
27441,0.85,0.94
27442,0.65,0.85
27443,0.02,0.16
27444,0.01,0.07
27445,0.38,0.34
27446,0.16,0.22
27447,0.01,0.1433333333333333
27448,0.24,0.53
27449,0.18,0.87
27450,0.2,0.78
27451,0.01,0.04
27452,0.0,0.22
27453,0.13,0.85
27454,0.2,0.56
27455,0.24,0.44
27456,0.02,0.5539999999999999
27457,0.09,0.35
27458,0.0,0.6325952380952381
27459,0.01,0.05
27460,0.93,0.86
27461,0.07,0.25333333333333335
27462,0.02,0.61
27463,0.08,0.17
27464,0.46,0.7
27465,0.86,0.8
27466,0.0,0.05
27467,0.0,0.23
27468,0.01,0.56
27469,0.16,0.5
27470,0.85,0.86
27471,0.28,0.87
27472,0.73,0.6583333333333334
27473,0.35,0.2
27474,0.33,0.105
27475,0.02,0.1
27476,0.13,0.57
27477,0.0,0.23666666666666664
27478,0.11,0.78
27479,0.06,0.345
27480,0.34,0.76
27481,0.54,0.88
27482,0.6426666666666668,0.13
27483,0.82,0.6241666666666666
27484,0.1,0.84
27485,0.13,0.87
27486,0.3285714285714286,0.2242857142857143
27487,0.52,0.89
27488,0.69,0.83
27489,0.81,0.81
27490,0.03,0.43
27491,0.44,0.46
27492,0.0,0.19
27493,0.04,0.95
27494,0.16,0.46
27495,0.18,0.15
27496,0.0,0.2
27497,0.1,0.11
27498,0.14,0.72
27499,0.02,0.84
27500,0.16,0.8
27501,0.1,0.24
27502,0.11,0.38
27503,0.09,0.75
27504,0.01,0.02
27505,0.01,0.04
27506,0.25,0.82
27507,0.03,0.3375
27508,0.4938452380952381,0.14916666666666667
27509,0.01,0.54
27510,0.53,0.34
27511,0.2,0.75
27512,0.03,0.3
27513,0.11,0.66
27514,0.06,0.31
27515,0.69,0.6083333333333334
27516,0.27316666666666667,0.95
27517,0.03,0.0
27518,0.86,1.0
27519,0.0,0.06
27520,0.0,0.05
27521,0.08,0.47
27522,0.24,0.08
27523,0.0,0.33
27524,0.19,0.38
27525,0.11,0.3775
27526,0.19,0.44
27527,0.0,0.97
27528,0.38,0.92
27529,0.12,0.89
27530,0.11,0.18
27531,0.06,0.12
27532,0.07,0.96
27533,0.532,0.72
27534,0.0,0.13
27535,0.01,0.77
27536,0.33,0.41
27537,0.55,0.72
27538,0.43,0.4
27539,0.21,0.74
27540,0.38,0.14
27541,0.86,0.36
27542,0.01,0.07
27543,0.69,0.76
27544,0.14,0.41
27545,0.26066666666666666,0.21
27546,0.47,0.68
27547,0.09,0.01
27548,0.04566666666666666,0.94
27549,0.02,0.84
27550,0.1,0.12
27551,0.04,0.2975
27552,0.01,0.82
27553,0.05,0.5273333333333333
27554,0.16,0.13
27555,0.04,0.4
27556,0.16,0.51
27557,0.2,0.9866666666666667
27558,0.05,0.3
27559,0.36,0.85
27560,0.72,0.86
27561,0.41333333333333333,0.8216666666666665
27562,0.3,0.58
27563,0.15,0.7394523809523809
27564,0.3396666666666667,0.27
27565,0.01,0.13
27566,0.18,0.41
27567,0.09,0.5
27568,0.54,0.91
27569,0.06,0.07
27570,0.33,0.63
27571,0.0,0.11
27572,0.0,0.0
27573,0.1,0.26
27574,0.1,0.29
27575,0.03,0.4
27576,0.0,0.09
27577,0.1375,0.55
27578,0.15,0.84
27579,0.04,0.5557142857142857
27580,0.17,0.87
27581,0.05,0.22416666666666665
27582,0.02,0.03
27583,0.01,0.09
27584,0.5,0.46
27585,0.03,0.16
27586,0.3863333333333334,0.75
27587,0.06,0.74
27588,0.09,0.16
27589,0.11666666666666665,0.5
27590,0.41,0.49
27591,0.11,0.62
27592,0.07,0.07
27593,0.11,0.14
27594,0.05,0.45
27595,0.03,0.19
27596,0.5086666666666667,0.03
27597,0.12,0.17
27598,0.03,0.06
27599,0.25,0.67
27600,0.005,0.58
27601,0.08,0.7
27602,0.78,0.9
27603,0.16,0.17
27604,0.0,0.24
27605,0.86,0.65
27606,0.39,0.2825
27607,0.59,0.5
27608,0.22,0.82
27609,0.06,0.79
27610,0.53,0.77
27611,0.7,0.3
27612,0.04,0.5925
27613,0.78,1.0
27614,0.11666666666666665,0.38
27615,0.08,0.81
27616,0.0,0.0
27617,0.34,0.39
27618,0.29,0.46666666666666673
27619,0.51,0.35
27620,0.28,0.59
27621,0.026000000000000002,0.3
27622,0.8,0.94
27623,0.22,0.65
27624,0.08,0.8
27625,0.03,0.3
27626,0.02,0.18
27627,0.9585714285714286,0.85
27628,0.09,0.7
27629,0.0,0.06
27630,0.32,0.72
27631,0.01,0.32
27632,0.08,0.51
27633,0.8,0.84
27634,0.23199999999999998,0.33649999999999997
27635,0.15,0.3
27636,0.55,0.84
27637,0.0,0.06
27638,0.27,0.36
27639,0.0,0.18
27640,0.71,0.51
27641,0.4,0.49
27642,0.47,0.65
27643,0.0,0.03
27644,0.08,0.7
27645,0.15,0.22
27646,0.0175,0.59
27647,0.14,0.09
27648,0.0,0.08
27649,0.19,0.5
27650,0.15,0.51
27651,0.47,0.98
27652,0.29,0.34
27653,0.01,0.02
27654,0.33,0.47
27655,0.222,0.35
27656,0.16,0.23
27657,0.5066666666666667,0.4333333333333333
27658,0.06,0.64
27659,0.01,0.05
27660,0.4,0.58
27661,0.27,0.11
27662,0.07,0.31
27663,0.32833333333333337,0.97
27664,0.1,0.32
27665,0.8,0.435
27666,0.03,0.9375
27667,0.01,0.08
27668,0.98,1.0
27669,0.38,0.83
27670,0.44,0.85
27671,0.13,0.63
27672,0.0,0.09
27673,0.03,0.07
27674,0.09,0.5333333333333333
27675,0.8079999999999999,0.85
27676,0.2333333333333333,0.93
27677,0.096,0.14
27678,0.11,0.23333333333333336
27679,0.02,0.7483333333333334
27680,0.89,0.84
27681,0.01,0.13
27682,0.02,0.9
27683,0.15,0.67
27684,0.024428571428571424,0.09833333333333333
27685,0.01,0.0325
27686,0.24,0.32
27687,0.0,0.19
27688,0.11,0.84
27689,0.9033333333333334,0.86
27690,0.6775,0.97
27691,0.8363333333333333,0.94
27692,0.02,0.18
27693,0.08,0.61
27694,0.13,0.58
27695,0.17,0.37
27696,0.01,0.49
27697,0.86,0.95
27698,0.56,0.49
27699,0.05,0.29
27700,0.125,0.47
27701,0.25,0.39
27702,0.4,0.39
27703,0.03,0.01
27704,0.06,0.01
27705,0.54,0.7
27706,0.07,0.93
27707,0.04,0.31
27708,0.09,0.74
27709,0.15,0.503
27710,0.03,0.51
27711,0.7,0.61
27712,0.08,0.05
27713,0.01,0.02
27714,0.24,0.12
27715,0.95,0.67
27716,0.3053333333333333,0.51
27717,0.16,0.17
27718,0.25,0.35
27719,0.0,0.26
27720,0.02,0.42200000000000004
27721,0.55,0.2685
27722,0.15,0.38
27723,0.11,0.94
27724,0.06,0.2896666666666667
27725,0.03,0.28
27726,0.24,0.45
27727,0.34,0.9
27728,0.21,0.15
27729,0.08,0.05
27730,0.92,0.89
27731,0.98,0.83
27732,0.0,0.94
27733,0.03,0.15216666666666667
27734,0.05,0.34
27735,0.24,0.48
27736,0.07,0.20666666666666667
27737,0.05,0.64
27738,0.54,1.0
27739,0.7,0.7999999999999998
27740,0.0,0.126
27741,0.23,0.7
27742,0.17,0.24
27743,0.89,0.78
27744,0.01,0.25
27745,0.8,0.77
27746,0.03,0.89
27747,0.115,0.435
27748,0.235,0.315
27749,0.09,0.58
27750,0.34333333333333327,0.39
27751,0.16,0.45
27752,0.42,0.73
27753,0.03,0.15
27754,0.02,0.69
27755,0.7,0.89
27756,0.008333333333333333,0.10333333333333332
27757,0.0,0.07
27758,0.03,0.86
27759,0.0,0.01
27760,0.245,0.73
27761,0.06,0.68
27762,0.04,0.19
27763,0.02,0.54
27764,0.48,0.4
27765,0.13,0.68
27766,0.775,0.995
27767,0.7,0.6633333333333334
27768,0.25,0.12
27769,0.12511904761904763,0.34
27770,0.0,0.9733333333333334
27771,0.06,0.53
27772,0.96,0.96
27773,0.12,0.44
27774,0.25,0.38
27775,0.205,0.38
27776,0.04,0.06
27777,0.27,0.39
27778,0.13,0.11
27779,0.3483333333333333,0.51
27780,0.18,0.96
27781,0.01,0.05
27782,0.92,0.87
27783,0.36,0.645
27784,0.05,0.19333333333333333
27785,0.0,0.14
27786,0.05,0.1
27787,0.15,0.13
27788,0.0,0.09333333333333332
27789,0.8,0.74
27790,0.8341666666666667,0.84
27791,0.05,0.26
27792,0.05,0.56
27793,0.02,0.10733333333333334
27794,0.05,0.14
27795,0.07,0.53
27796,0.03,0.44
27797,0.42,0.81
27798,0.41,0.08
27799,0.04,0.15749999999999997
27800,0.3433333333333334,0.46
27801,0.09,0.36666666666666664
27802,0.88,0.96
27803,0.0,0.01
27804,0.57,0.84
27805,0.05,0.18
27806,0.45,0.86
27807,0.18,0.69
27808,0.16,0.19
27809,0.21,0.97
27810,0.07,0.22
27811,0.0,0.05
27812,0.2625,0.1
27813,0.35,0.47
27814,0.226,0.48
27815,0.18,0.6866666666666665
27816,0.54,0.69
27817,0.26,0.24
27818,0.1375,0.71
27819,0.02,0.2
27820,0.87,0.72
27821,0.15,0.21
27822,0.1125,0.22
27823,0.35,0.374
27824,0.07,0.73
27825,0.14,0.16
27826,0.21,0.6633333333333333
27827,0.05,0.08
27828,0.01,0.19
27829,0.0,0.01
27830,0.21,0.26
27831,0.04,0.32
27832,0.08,0.51
27833,0.19,0.21
27834,0.72,0.76
27835,0.04,0.82
27836,0.07,0.93
27837,0.62,0.63
27838,0.01,0.6626666666666666
27839,0.0,0.16
27840,0.39,0.72
27841,0.07,0.28
27842,0.21,0.74
27843,0.07,0.45
27844,0.04,0.84
27845,0.03,0.79
27846,0.08,0.15
27847,0.09,0.5
27848,0.63,0.66
27849,0.14,0.94
27850,0.05,0.12
27851,0.48,0.24
27852,0.12,0.5
27853,0.1,0.23
27854,0.15,0.63
27855,0.05,0.69
27856,0.18,0.86
27857,0.33,0.79
27858,0.95,0.85
27859,0.91,0.96
27860,0.05,0.93
27861,0.0,0.14666666666666667
27862,0.3794285714285715,0.08983333333333332
27863,0.04,0.45
27864,0.03,0.195
27865,0.07,0.62
27866,0.26408333333333334,0.9
27867,0.6513333333333332,0.77
27868,0.59,0.82
27869,0.04,0.34
27870,0.54,0.2
27871,0.07,0.605
27872,0.04,0.1
27873,0.05,0.11
27874,0.11,0.88
27875,0.22,0.55
27876,0.14,0.11
27877,0.21852380952380954,0.375
27878,0.09,0.85
27879,0.17,0.5766666666666667
27880,0.06,0.23
