respondent_id,h1n1_vaccine,seasonal_vaccine
26898,0.35,0.47
26899,0.08,0.03
26900,0.07,0.21
26901,0.05,0.42
26902,0.2,0.86
26903,0.18,0.31
26904,0.11,0.53
26905,0.3,0.84
26906,0.01,0.55
26907,0.04,0.5
26908,0.22,0.74
26909,0.15,0.22
26910,0.4,0.63
26911,0.15,0.17
26912,0.34,0.8116666666666664
26913,0.91,0.92
26914,0.05,0.01
26915,0.41,0.66
26916,0.18666666666666665,0.06
26917,0.06,0.12
26918,0.94,0.99
26919,0.3,0.6425
26920,0.0,0.02
26921,0.08,0.72
26922,0.03,0.92
26923,0.17,0.46
26924,0.76,0.95
26925,0.18,0.85
26926,0.47,0.52
26927,0.44,0.76
26928,0.013333333333333332,0.5408333333333333
26929,0.12,0.31
26930,0.84,0.87
26931,0.07333333333333333,0.3436666666666667
26932,0.06,0.87
26933,0.06,0.69
26934,0.56,0.81
26935,0.22,0.42
26936,0.43,0.51
26937,0.45599999999999996,0.8831666666666668
26938,0.16,0.12
26939,0.04,0.07
26940,0.09,0.27
26941,0.06,0.5449999999999999
26942,0.65,0.86
26943,0.26,0.79
26944,0.03,0.1765
26945,0.095,0.5708333333333333
26946,0.38,0.73
26947,0.1525,0.575
26948,0.0,0.03
26949,0.02,0.01
26950,0.12,0.55
26951,0.06,0.3
26952,0.92,0.96
26953,0.75,0.98
26954,0.0,0.07
26955,0.13,0.6291666666666667
26956,0.045,0.04
26957,0.05,0.93
26958,0.14,0.55
26959,0.08,0.31
26960,0.04,0.01
26961,0.39,0.46
26962,0.08,0.87
26963,0.23,0.43
26964,0.03,0.44
26965,0.95,0.94
26966,0.2,0.17
26967,0.17,0.23
26968,0.04,0.8
26969,0.08,0.16
26970,0.64,0.48
26971,0.01,0.04
26972,0.05,0.07
26973,0.15,0.14
26974,0.15,0.06
26975,0.03,0.7718333333333334
26976,0.87,0.61
26977,0.05,0.09
26978,0.07,0.72
26979,0.69,0.86
26980,0.02,0.11
26981,0.24,0.47
26982,0.71,0.94
26983,0.2,0.46
26984,0.2,0.156
26985,0.16,0.15
26986,0.17,0.38
26987,0.11466666666666667,0.27
26988,0.01,0.2
26989,0.21,0.74
26990,0.01,0.38
26991,0.335,0.41
26992,0.23,0.54
26993,0.07,0.97
26994,0.1,0.54
26995,0.25,0.37
26996,0.415,0.39
26997,0.19,0.12
26998,0.12,0.0575
26999,0.47,0.49
27000,0.04,0.3675
27001,0.08,0.85
27002,0.05,0.51
27003,0.01,0.07
27004,0.35983333333333334,0.08
27005,0.64,0.63
27006,0.867,0.8
27007,0.02,0.39
27008,0.25,0.06
27009,0.03,0.4656666666666666
27010,0.01,0.15
27011,0.16,0.02
27012,0.3,0.44
27013,0.08,0.21166666666666664
27014,0.03,0.36
27015,0.41,0.11
27016,0.13,0.24
27017,0.58,0.91
27018,0.02,0.3658333333333333
27019,0.89,0.93
27020,0.26,0.24
27021,0.17,0.28
27022,0.2,0.325
27023,0.06,0.275
27024,0.28,0.44
27025,0.205,0.13
27026,0.09,0.36
27027,0.07,0.92
27028,0.41,0.92
27029,0.25,0.31
27030,0.23,0.31
27031,0.19,0.83
27032,0.14,0.6433333333333333
27033,0.41,0.62
27034,0.1975,0.56
27035,0.01,0.25666666666666665
27036,0.12,0.61
27037,0.61,0.48
27038,0.02,0.0
27039,0.81,0.94
27040,0.23,0.26
27041,0.17,0.62
27042,0.11,0.6475
27043,0.35,0.57
27044,0.01,0.13833333333333334
27045,0.08,0.63
27046,0.09,0.24
27047,0.61,0.36
27048,0.16,0.61
27049,0.43,0.75
27050,0.01,0.77
27051,0.03,0.2095
27052,0.09,0.24
27053,0.75,0.95
27054,0.05,0.02
27055,0.01,0.95
27056,0.05,0.12
27057,0.05,0.05
27058,0.95,0.98
27059,0.0,0.03
27060,0.07,0.42
27061,0.1075,0.19
27062,0.09,0.55
27063,0.04,0.53
27064,0.11,0.38
27065,0.11,0.43
27066,0.04,0.67
27067,0.64,0.36
27068,0.84,0.95
27069,0.51,0.93
27070,0.01,0.09
27071,0.06,0.0625
27072,0.26,0.53
27073,0.05,0.91
27074,0.18,0.36
27075,0.6,0.89
27076,0.71,0.82
27077,0.05,0.35
27078,0.33,0.75
27079,0.46,0.9
27080,0.05,0.27
27081,0.06,0.7
27082,0.245,0.27
27083,0.03,0.3
27084,0.78,0.7166666666666666
27085,0.08,0.04
27086,0.11666666666666668,0.13
27087,0.2,0.22
27088,0.3,0.47
27089,0.15083333333333332,0.44
27090,0.16,0.6
27091,0.38,0.4
27092,0.28,0.15
27093,0.12,0.44961904761904764
27094,0.01,0.11
27095,0.11,0.7933333333333333
27096,0.08,0.22
27097,0.65,0.6
27098,0.72,0.87
27099,0.25,0.5
27100,0.14,0.82
27101,0.22,0.7
27102,0.01,0.78
27103,0.02,0.09
27104,0.28,0.7375
27105,0.14,0.51
27106,0.8,0.85
27107,0.5866666666666667,0.67
27108,0.05,0.19
27109,0.09,0.08
27110,0.03,0.6
27111,0.05,0.55
27112,0.38,0.64
27113,0.05,0.11
27114,0.0,0.005
27115,0.57,0.82
27116,0.07,0.83
27117,0.06,0.07
27118,0.04,0.19
27119,0.05,0.25
27120,0.26,0.92
27121,0.02,0.9
27122,0.06,0.41
27123,0.0,0.22
27124,0.04,0.23
27125,0.06,0.05
27126,0.24,0.11
27127,0.07483333333333334,0.11
27128,0.17666666666666664,0.66
27129,0.34,0.54
27130,0.01,0.205
27131,0.04,0.08
27132,0.34,0.94
27133,0.14,0.58
27134,0.85,0.97
27135,0.23,0.74
27136,0.0,0.28
27137,0.105,0.3
27138,0.3,0.57
27139,0.04,0.12
27140,0.98,0.98
27141,0.49,0.81
27142,0.13,0.07
27143,0.42,0.4
27144,0.05,0.12
27145,0.71,0.63
27146,0.09,0.7
27147,0.05,0.29
27148,0.14,0.09
27149,0.51,0.11
27150,0.5,0.86
27151,0.17,0.7316666666666666
27152,0.05,0.15
27153,0.1,0.78
27154,0.84,0.89
27155,0.23,0.79
27156,0.0,0.11
27157,0.02,0.54
27158,0.09,0.36
27159,0.0,0.23
27160,0.33,0.39
27161,0.21,0.42
27162,0.05,0.84
27163,0.78,0.5
27164,0.33,0.29
27165,0.57,0.76
27166,0.18,0.25
27167,0.04,0.71
27168,0.17,0.87
27169,0.37,0.54
27170,0.43,0.81
27171,0.11,0.2275
27172,0.0,0.77
27173,0.25,0.62
27174,0.06,0.19
27175,0.07,0.12
27176,0.75,0.92
27177,0.92,0.72
27178,0.07,0.32
27179,0.08,0.18
27180,0.23,0.14
27181,0.01,0.78
27182,0.63,0.96
27183,0.06,0.82
27184,0.07,0.36
27185,0.73,0.79
27186,0.19,0.89
27187,0.115,0.0575
27188,0.01,0.38
27189,0.13,0.79
27190,0.57,0.86
27191,0.28,0.78
27192,0.54,0.73
27193,0.0,0.1746666666666667
27194,0.2,0.36
27195,0.13,0.43
27196,0.21,0.37266666666666665
27197,0.09,0.62
27198,0.74,0.88
27199,0.11,0.15
27200,0.28,0.68
27201,0.69,0.94
27202,0.08,0.26
27203,0.07,0.09
27204,0.01,0.01
27205,0.237,0.28
27206,0.08,0.28
27207,0.016666666666666666,0.02
27208,0.57,0.56
27209,0.04,0.16833333333333333
27210,0.23,0.215
27211,0.08,0.3
27212,0.64,0.96
27213,0.435,0.74
27214,0.01,0.16
27215,0.17,0.59
27216,0.19,0.81
27217,0.17,0.36
27218,0.46,0.8
27219,0.56,0.64
27220,0.39,0.25
27221,0.16,0.8
27222,0.35,0.7892857142857143
27223,0.1,0.73
27224,0.09,0.68
27225,0.29,0.17
27226,0.0,0.1375
27227,0.25,0.115
27228,0.58,0.92
27229,0.52,0.93
27230,0.17,1.0
27231,0.61,0.86
27232,0.14,0.38
27233,0.51,0.41
27234,0.04,0.04
27235,0.8533333333333334,0.96
27236,0.08,0.88
27237,0.3,0.42
27238,0.62,0.9191666666666667
27239,0.37,0.22
27240,0.06,0.22833333333333333
27241,0.04,0.11333333333333333
27242,0.14666666666666667,0.52
27243,0.02,0.18
27244,0.0,0.1
27245,0.25,0.42
27246,0.7133333333333334,0.87
27247,0.38,0.96
27248,0.06,0.5733333333333334
27249,0.15,0.65
27250,0.0,0.26
27251,0.11,0.47
27252,0.21,0.65
27253,0.05,0.79
27254,0.3,0.95
27255,0.1,0.20683333333333334
27256,0.58,0.96
27257,0.51,0.405
27258,0.35,0.65
27259,0.86,0.76
27260,0.36,0.39
27261,0.27,0.635
27262,0.16,0.3175
27263,0.23,0.06
27264,0.2,0.2
27265,0.23,0.29
27266,0.24,0.5125
27267,0.41,0.79
27268,0.02,0.07
27269,0.73,0.57
27270,0.0,0.17444444444444443
27271,0.12,0.175
27272,0.05,0.5
27273,0.03,0.16
27274,0.12,0.38
27275,0.12,0.41
27276,0.02,0.19
27277,0.08,0.78
27278,0.25,0.41
27279,0.11,0.23
27280,0.54,0.22
27281,0.04428571428571429,0.41
27282,0.05,0.78
27283,0.09,0.14
27284,0.4,0.52
27285,0.07,0.23
27286,0.19,0.41
27287,0.3,0.84
27288,0.4,0.74
27289,0.23,0.46
27290,0.0,0.06
27291,0.67,0.93
27292,0.03,0.66
27293,0.08,0.98
27294,0.02,0.07
27295,0.29,0.89
27296,0.1,0.89
27297,0.1,0.88
27298,0.10428571428571429,0.18
27299,0.27,0.495
27300,0.21,0.7941666666666666
27301,0.0,0.01
27302,0.2,0.92
27303,0.15,0.2
27304,0.24,0.77
27305,0.07,0.15444444444444444
27306,0.17,0.531547619047619
27307,0.83,0.91
27308,0.36,0.34
27309,0.74,0.94
27310,0.22,0.18
27311,0.285,0.2625
27312,0.14,0.39
27313,0.02,0.06
27314,0.01,0.05
27315,0.05,0.25666666666666665
27316,0.3,0.88
27317,0.17,0.2683333333333333
27318,0.19,0.3116666666666667
27319,0.37,0.75
27320,0.47,0.77
27321,0.04,0.89
27322,0.33,0.27
27323,0.15,0.53
27324,0.43,0.56
27325,0.68,0.9
27326,0.13,0.42
27327,0.28,0.49
27328,0.33,0.46
27329,0.03,0.11
27330,0.04,0.73
27331,0.045,0.14
27332,0.15,0.94
27333,0.78,0.62
27334,0.01,0.06
27335,0.04,0.17
27336,0.09,0.26
27337,0.36,0.83
27338,0.14,0.32
27339,0.23,0.25
27340,0.0,0.04
27341,0.09,0.705
27342,0.14,0.648
27343,0.0,0.07
27344,0.39,0.39
27345,0.14,0.09
27346,0.71,0.99
27347,0.68,0.884
27348,0.08,0.2628333333333333
27349,0.2125,0.12
27350,0.13,0.9
27351,0.71,0.69
27352,0.12,0.32
27353,0.07,0.18166666666666664
27354,0.27,0.75
27355,0.32,0.27
27356,0.15,0.66
27357,0.02,0.72
27358,0.43,0.45
27359,0.48,0.66
27360,0.09,0.67
27361,0.04,0.97
27362,0.35,0.43
27363,0.07,0.1
27364,0.06,0.37
27365,0.55,0.71
27366,0.38,0.5666666666666667
27367,0.44,0.6
27368,0.1,0.58
27369,0.35,0.05
27370,0.11,0.91
27371,0.36,0.37
27372,0.0,0.02
27373,0.84,0.858
27374,0.01,0.21
27375,0.1025,0.92
27376,0.69,0.47
27377,0.23,0.51
27378,0.02,0.12
27379,0.17,0.6485714285714286
27380,0.07,0.9
27381,0.04,0.63
27382,0.23,0.28
27383,0.13,0.67
27384,0.05,0.47
27385,0.05,0.4
27386,0.19,0.57
27387,0.36,0.8
27388,0.12,0.23
27389,0.16666666666666663,0.16
27390,0.01,0.0
27391,0.32,0.73
27392,0.97,0.83
27393,0.01,0.02
27394,0.02,0.42
27395,0.77,0.77
27396,0.06,0.05111111111111111
27397,0.91,0.96
27398,0.42,0.68
27399,0.14,0.45
27400,0.09,0.74
27401,0.33,0.45
27402,0.14,0.53
27403,0.02,0.14
27404,0.33,0.27
27405,0.92,0.91
27406,0.04,0.19
27407,0.42,0.46
27408,0.08,0.435
27409,0.76,0.97
27410,0.06,0.22
27411,0.35,0.36
27412,0.21,0.8
27413,0.09,0.41
27414,0.73,0.79
27415,0.07,0.41
27416,0.04,0.36
27417,0.3,0.56
27418,0.39,0.31
27419,0.76,0.89
27420,0.21,0.325
27421,0.09,0.19666666666666666
27422,0.54,0.75
27423,0.01,0.23
27424,0.13,0.39
27425,0.27,0.64
27426,0.65,0.09
27427,0.02,0.44
27428,0.0,0.07
27429,0.45,0.18
27430,0.25,0.64
27431,0.33,0.73
27432,0.3,0.5720000000000001
27433,0.1,0.81
27434,0.06583333333333333,0.775
27435,0.19,0.27
27436,0.04,0.03
27437,0.24,0.08
27438,0.02,0.01
27439,0.69,0.26
27440,0.69,0.08
27441,0.8,0.89
27442,0.61,0.87
27443,0.02,0.03
27444,0.05,0.09
27445,0.04,0.14
27446,0.08,0.1
27447,0.01,0.035
27448,0.2,0.43
27449,0.21,0.97
27450,0.12,0.77
27451,0.01,0.09
27452,0.1,0.3
27453,0.12,0.89
27454,0.17,0.53
27455,0.29,0.39
27456,0.21,0.73
27457,0.01,0.31
27458,0.09,0.615
27459,0.0,0.08
27460,0.83,0.78
27461,0.14,0.18
27462,0.01,0.4242222222222222
27463,0.1,0.18
27464,0.7,0.67
27465,0.89,0.92
27466,0.01,0.04
27467,0.19,0.29
27468,0.06,0.61
27469,0.13,0.41
27470,0.84,0.88
27471,0.23,0.93
27472,0.49125,0.6566666666666666
27473,0.26,0.45
27474,0.2,0.34
27475,0.01,0.15
27476,0.13,0.47
27477,0.07,0.17
27478,0.09,0.58
27479,0.14,0.25
27480,0.59,0.81
27481,0.71,0.79
27482,0.51,0.385
27483,0.748,0.682
27484,0.49,0.7128571428571427
27485,0.04,0.88
27486,0.03,0.17
27487,0.13,0.87
27488,0.96,0.99
27489,0.8828333333333334,0.78
27490,0.03,0.45
27491,0.43,0.37
27492,0.01,0.19
27493,0.04,0.94
27494,0.68,0.74
27495,0.28,0.33
27496,0.058095238095238096,0.07
27497,0.2,0.06
27498,0.17,0.74
27499,0.225,0.91
27500,0.2,0.8
27501,0.07,0.17
27502,0.15,0.44
27503,0.12,0.79
27504,0.02,0.03
27505,0.01,0.045
27506,0.43,0.87
27507,0.09449999999999999,0.11
27508,0.433,0.08
27509,0.24,0.56
27510,0.57,0.35
27511,0.37,0.64
27512,0.02,0.14
27513,0.14,0.75
27514,0.2,0.6416666666666666
27515,0.67,0.385
27516,0.2351190476190476,0.87
27517,0.03,0.01
27518,0.82,0.92
27519,0.01,0.04
27520,0.02,0.06
27521,0.04,0.64
27522,0.14,0.17
27523,0.13,0.10966666666666666
27524,0.07,0.45
27525,0.19,0.2683333333333333
27526,0.57,0.66
27527,0.07,0.98
27528,0.43,0.88
27529,0.18,0.79
27530,0.01,0.065
27531,0.15,0.16
27532,0.06,1.0
27533,0.2,0.64
27534,0.08,0.17
27535,0.05,0.89
27536,0.23,0.33
27537,0.74,0.83
27538,0.6266666666666666,0.42
27539,0.17,0.71
27540,0.64,0.305
27541,0.85,0.88
27542,0.0,0.09
27543,0.62,0.78
27544,0.05,0.15
27545,0.05,0.345
27546,0.8275,0.75
27547,0.1,0.16
27548,0.04,0.97
27549,0.095,0.9066666666666667
27550,0.1375,0.26
27551,0.31,0.29
27552,0.03,0.82
27553,0.12,0.4
27554,0.2,0.13
27555,0.0,0.18
27556,0.2,0.53
27557,0.2,0.9366666666666665
27558,0.13583333333333333,0.255
27559,0.17,0.67
27560,0.37,0.7
27561,0.625,0.84
27562,0.06,0.21
27563,0.4,0.79
27564,0.29,0.16
27565,0.24,0.44
27566,0.17,0.43
27567,0.11,0.82
27568,0.58,0.92
27569,0.04,0.04
27570,0.63,0.74
27571,0.19,0.14
27572,0.0,0.0
27573,0.04,0.17
27574,0.44,0.37
27575,0.05,0.29
27576,0.04,0.08
27577,0.26,0.56
27578,0.09,0.58
27579,0.03,0.39
27580,0.12,0.36
27581,0.19,0.13
27582,0.0,0.03
27583,0.07,0.22
27584,0.45,0.6
27585,0.1225,0.552
27586,0.69,0.82
27587,0.07,0.71
27588,0.1,0.6866666666666665
27589,0.2333333333333333,0.5
27590,0.39,0.6
27591,0.32,0.66
27592,0.02,0.05
27593,0.05,0.14
27594,0.24,0.71
27595,0.03,0.14
27596,0.1375,0.06
27597,0.22,0.18
27598,0.18,0.18
27599,0.43,0.64
27600,0.05,0.6
27601,0.07,0.89
27602,0.82,0.95
27603,0.01,0.02
27604,0.11,0.3
27605,0.67,0.63
27606,0.18,0.22
27607,0.67,0.74
27608,0.06,0.41
27609,0.46,0.91
27610,0.49,0.66
27611,0.32,0.26
27612,0.09666666666666666,0.63
27613,1.0,0.91
27614,0.19,0.59
27615,0.16,0.9
27616,0.02,0.04
27617,0.6483333333333333,0.47583333333333333
27618,0.22,0.54
27619,0.42,0.27
27620,0.41,0.67
27621,0.26,0.13
27622,0.64,0.95
27623,0.16,0.87
27624,0.09,0.79
27625,0.13,0.37
27626,0.04,0.11
27627,0.82,0.58
27628,0.09,0.82
27629,0.05,0.08
27630,0.5,0.61
27631,0.15,0.215
27632,0.03,0.57
27633,0.6666666666666667,0.69
27634,0.08,0.22
27635,0.1,0.36
27636,0.17,0.91
27637,0.09,0.12866666666666665
27638,0.14,0.18
27639,0.05,0.2
27640,0.61,0.4
27641,0.51,0.47
27642,0.43,0.63
27643,0.04,0.04
27644,0.09,0.81
27645,0.18,0.17
27646,0.03,0.41
27647,0.06,0.1
27648,0.06,0.03
27649,0.14,0.36
27650,0.18,0.58
27651,0.17,0.86
27652,0.14,0.49
27653,0.05,0.01
27654,0.87,0.67
27655,0.235,0.48
27656,0.17,0.27
27657,0.52,0.3725
27658,0.05,0.47
27659,0.01,0.02
27660,0.44,0.55
27661,0.26,0.1
27662,0.08,0.19
27663,0.25,0.87
27664,0.25,0.11
27665,0.76,0.58
27666,0.06,0.69
27667,0.0,0.02
27668,0.93,0.99
27669,0.48,0.79
27670,0.83,0.9
27671,0.6233333333333333,0.95
27672,0.03,0.17
27673,0.03,0.23
27674,0.08,0.47
27675,0.71,0.85
27676,0.32,0.91
27677,0.0,0.07
27678,0.32,0.4275
27679,0.06,0.5016666666666667
27680,0.85,0.92
27681,0.0,0.09
27682,0.1,0.94
27683,0.08,0.5
27684,0.18760683760683766,0.04
27685,0.1,0.16
27686,0.07,0.27
27687,0.03,0.06
27688,0.16,0.75
27689,0.49,0.91
27690,0.7,0.91
27691,0.54,0.89
27692,0.04,0.24
27693,0.08,0.51
27694,0.33,0.6725
27695,0.198,0.43
27696,0.12,0.73
27697,0.59,0.87
27698,0.37,0.53
27699,0.09,0.26
27700,0.06,0.32
27701,0.56,0.53
27702,0.43,0.48
27703,0.03,0.11
27704,0.0,0.07
27705,0.63,0.67
27706,0.08,0.87
27707,0.07,0.36
27708,0.53,0.68
27709,0.11,0.34333333333333327
27710,0.08,0.16
27711,0.36,0.51
27712,0.05,0.32
27713,0.15,0.08
27714,0.09,0.11
27715,0.94,0.85
27716,0.27,0.4066666666666666
27717,0.17,0.24
27718,0.1,0.39
27719,0.02,0.07
27720,0.185,0.24
27721,0.43,0.26
27722,0.36,0.45
27723,0.15,0.85
27724,0.16,0.165
27725,0.03,0.4242222222222222
27726,0.16,0.29
27727,0.11,0.96
27728,0.5373333333333333,0.41
27729,0.02,0.13444444444444445
27730,0.8,0.85
27731,0.84,0.77
27732,0.04,0.98
27733,0.02,0.14
27734,0.19,0.43
27735,0.53,0.66
27736,0.04,0.32
27737,0.23,0.75
27738,0.42,0.92
27739,0.6034920634920635,0.77
27740,0.11416666666666668,0.32
27741,0.38,0.84
27742,0.06,0.45
27743,0.6,0.82
27744,0.06,0.24
27745,0.9,0.96
27746,0.07,0.54
27747,0.03,0.45
27748,0.2,0.25
27749,0.27,0.75
27750,0.29,0.42
27751,0.03,0.2
27752,0.43,0.74
27753,0.01,0.12
27754,0.4,0.87
27755,0.96,0.95
27756,0.07,0.08
27757,0.01,0.05666666666666667
27758,0.04,0.89
27759,0.02,0.15983333333333336
27760,0.21333333333333332,0.82
27761,0.11,0.64
27762,0.08,0.23
27763,0.09666666666666666,0.53
27764,0.24,0.36
27765,0.27,0.48
27766,0.855,0.9575
27767,0.475,0.71
27768,0.04666666666666666,0.07
27769,0.08,0.18
27770,0.01,0.9
27771,0.04,0.64
27772,0.88,0.85
27773,0.09,0.55
27774,0.33,0.18
27775,0.04666666666666666,0.405
27776,0.06,0.1
27777,0.22,0.34
27778,0.24,0.15
27779,0.19,0.23
27780,0.06,0.96
27781,0.04,0.07
27782,0.78,0.84
27783,0.11,0.8
27784,0.14,0.31
27785,0.05,0.25
27786,0.1,0.17
27787,0.07,0.21
27788,0.11666666666666665,0.18
27789,0.71,0.9
27790,0.76,0.62
27791,0.04,0.36
27792,0.14,0.65
27793,0.17,0.13
27794,0.15,0.18
27795,0.72,0.7141666666666666
27796,0.03,0.08
27797,0.74,0.78
27798,0.35,0.16
27799,0.07,0.31
27800,0.28,0.33
27801,0.03,0.54
27802,0.66,0.91
27803,0.01,0.01
27804,0.87,0.94
27805,0.17,0.03
27806,0.73,0.75
27807,0.32,0.81
27808,0.12,0.41
27809,0.38,0.99
27810,0.02,0.44
27811,0.0,0.02
27812,0.01,0.15
27813,0.23,0.53
27814,0.12,0.51
27815,0.05,0.5296666666666667
27816,0.61,0.59
27817,0.09,0.33
27818,0.47,0.79
27819,0.16,0.2165
27820,0.75,0.67
27821,0.18,0.23
27822,0.04,0.12
27823,0.3283333333333333,0.57
27824,0.08,0.75
27825,0.37,0.31
27826,0.21,0.62
27827,0.03,0.06
27828,0.05,0.22
27829,0.07,0.06633333333333333
27830,0.23,0.2
27831,0.59,0.43
27832,0.35,0.58
27833,0.4,0.37
27834,0.86,0.72
27835,0.345,0.79
27836,0.09,0.95
27837,0.58,0.81
27838,0.01,0.35
27839,0.02,0.06
27840,0.2325,0.8640000000000001
27841,0.24,0.34
27842,0.31,0.74
27843,0.07,0.51
27844,0.06,0.91
27845,0.05,0.68
27846,0.23,0.31
27847,0.08,0.45
27848,0.99,0.89
27849,0.05,0.95
27850,0.24,0.23
27851,0.71,0.27666666666666667
27852,0.39,0.64
27853,0.24,0.24
27854,0.29,0.61
27855,0.23,0.5
27856,0.36,0.91
27857,0.63,0.87
27858,0.78,0.94
27859,0.82,0.95
27860,0.175,0.73
27861,0.01,0.0325
27862,0.31633333333333336,0.18
27863,0.48,0.34
27864,0.18666666666666665,0.49652380952380953
27865,0.27,0.6475
27866,0.93,0.91
27867,0.42,0.56
27868,0.535,0.76
27869,0.08,0.71
27870,0.34,0.14
27871,0.05,0.405
27872,0.26,0.18833333333333335
27873,0.09,0.11
27874,0.36,0.96
27875,0.33,0.45
27876,0.02,0.1
27877,0.4,0.56
27878,0.07,0.87
27879,0.24,0.71
27880,0.07,0.18
27881,0.1,0.7336666666666667
27882,0.22,0.16916666666666663
27883,0.01,0.13
27884,0.1475,0.23666666666666664
27885,0.0,0.085
27886,0.14,0.29
27887,0.63,0.62
27888,0.12,0.3
27889,0.17,0.17
27890,0.18,0.18683333333333332
27891,0.3525,0.49
27892,0.16,0.23
27893,0.0,0.215
27894,0.06,0.20333333333333337
27895,0.19,0.79
27896,0.14,0.49
27897,0.03,0.0
27898,0.04,0.08
27899,0.04,0.56
27900,0.46,0.78
27901,0.4109444444444444,0.19693290043290046
27902,0.13,0.225
27903,0.11,0.11
27904,0.2,0.26
27905,0.28,0.32
27906,0.13,0.63
27907,0.9,0.96
27908,0.22,0.54
27909,0.19,0.14
